id,sexo,edad,ent,p1_riesgo,p2_riesgo,p3_riesgo,p4_riesgo,p5_ansiedad,p6_ansiedad,p7_sintomas,p8_sintomas,p9_sintomas,p10_sintomas,p11_sintomas,p12a_sintomas,p12b_sintomas,p12c_sintomas,p12d_sintomas,p12e_sintomas,p12f_sintomas,p13_sintomas,p14_sintomas,p15_cuarentena,p16_cuarentena,p17_economia,p18_economia,p19_economia,p20_economia,p21_economia,p22_economia,p23_economia,p24_economia,p25_economia,p26_economia,p27_economia,p28_economia,p29_economia,p29a_economia,p30_economia,p31_economia,p32_economia,p32a_economia,p33_economia,p34_economia,p35_cuarentena,p36_cuarentena,p37_expectativas,p38_expectativas,p39_expectativas,p40_depresion,p41_depresion,p42_depresion,p43_depresion,p44_depresion,p45_depresion,p46_depresion,p47_alimentacion,p48_alimentacion,p49_alimentacion,p50_alimentacion,p51_alimentacion,p52_alimentacion,p53_alimentacion,p54_alimentacion,p55_socio,p56_socio,p57_socio,p58_socio,p60_socio,p60g_socio,p61_socio,p62_socio,p63_socio,p64_socio,p65_socio,p66_socio,p67_socio,p68_socio,nse,gpo_edad3,gpo_edad4,gpo_edad5,factor_i,factor_i_n,factor_h,factor_h_n,factor_i_pop,factor_i_pop_n,factor_h_pop,factor_h_pop_n
325,1,50,21,4,3,1,10,3,2,0,,,,,,,,,,,,,1,,-1,-50,1,0,50,1,0,998,2,9,,1,1,5112,0,0,,,,,,,1,3,3,1,3,3,1,1,2,3,9,0,0,1,0,1,0,0,6,1,1,1,4,3,1,2,0,0,0,1,999999,1,2,3,4,4,77470.82017984269,.93674976,35571.98,.95235956,77470.82017989685,.93674976,31128.43,.95235968
326,1,18,21,1,1,1,10,1,1,0,,,,,,,,,,,,,1,,-1,-70,1,2,999,1,1,999,1,1,99998,1,3,9999,0,0,,,,,,,1,1,1,0,1,1,0,1,2,1,1,0,0,0,0,0,0,0,3,0,0,0,3,6,1,1,0,0,2,1,3000,,2,1,1,1,77102.63404533151,.93229777,35402.922,.94783336,77102.63404538541,.93229777,30980.49,.94783348
327,1,60,21,4,4,2,0,0,0,0,,,,,,,,,,,,,0,21,-1,999,1,2,100,1,0,998,2,0,6000,0,,,,,9,.a,,,,,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,3,0,0,0,4,3,1,2,0,0,2,3,4000,,2,3,4,5,77470.82017984269,.93674976,35571.98,.95235956,77470.82017989685,.93674976,31128.43,.95235968
328,0,50,21,4,3,3,6,0,0,0,,,,,,,,,,,,,1,,-1,-60,0,0,998,4,1,80,1,1,99998,1,1,8999,1,0,,,,,,,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,1,2,0,1,2,2,12000,,3,3,4,4,75256.38737478519,.90997362,34555.188,.92513722,75256.38737483781,.90997362,30238.652,.92513734
42,0,25,19,1,1,9,8,2,1,0,,,,,,,,,,,,,1,,0,0,0,0,998,2,1,40,1,1,99998,0,,,,,1,9999,9,9,,9,1,1,1,0,2,1,0,2,1,1,1,0,0,1,0,0,0,0,6,0,0,0,9,,1,5,3,1,5,,999999,9,6,1,2,2,99594.783365852,1.2042649,42113.641,1.1274977,99594.7833659216,1.2042649,36852.922,1.1274978
43,1,35,15,4,3,3,8,1,2,0,,,,,,,,,,,,,0,10,-1,-30,1,2,40,1,1,50,1,0,4000,1,2,4224,0,0,,,,,,,2,2,2,1,1,3,1,3,3,1,1,1,0,0,0,1,1,0,5,0,1,1,4,3,1,2,0,0,2,,5000,,2,2,3,3,75633.50230713611,.91453356,32101.145,.85943574,75633.50230718899,.91453356,28091.16,.8594358
329,1,26,21,1,1,2,7,0,0,0,,,,,,,,,,,,,1,,0,0,0,0,998,5,1,20,1,0,6000,0,,,,,1,9999,1,0,0,10,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,6,4,1,4,3,1,3,5,999999,9,6,1,2,2,63577.76958915989,.76875991,29192.762,.78157032,63577.76958920434,.76875991,25546.086,.78157043
330,1,32,21,4,4,1,5,0,0,0,,,,,,,,,,,,,0,10,-1,-50,0,0,998,3,0,998,4,0,99999,1,3,9999,0,0,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,1,1,0,1,0,0,2500,,2,2,2,2,70724.92629797391,.8551808,32474.494,.86943132,70724.92629802335,.8551808,28417.873,.86943144
44,0,39,15,2,2,1,8,2,2,0,,,,,,,,,,,,,1,,0,0,0,0,998,5,0,998,5,1,99998,1,1,1522,1,0,,,,,,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,6,4,3,3,0,1,2,,16000,,6,2,3,3,82981.52254202972,1.0033833,35219.867,.94293243,82981.52254208773,1.0033833,30820.301,.94293255
45,1,42,15,3,3,2,5,1,1,0,,,,,,,,,,,,,1,,0,0,0,0,998,3,1,50,1,1,99998,0,,,,,1,2512,0,0,1,9,2,5,2,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,4,0,0,0,6,5,1,3,0,1,0,,11000,,5,2,3,3,83299.90929934529,1.007233,35355,.94655031,83299.90929940352,1.007233,30938.553,.94655043
