id,sexo,edad,ent,p1_riesgo,p2_riesgo,p3_riesgo,p4_riesgo,p5_ansiedad,p6_ansiedad,p7_sintomas,p8_sintomas,p9_sintomas,p10_sintomas,p11_sintomas,p12a_sintomas,p12b_sintomas,p12c_sintomas,p12d_sintomas,p12e_sintomas,p12f_sintomas,p13_sintomas,p14_sintomas,p15_cuarentena,p16_cuarentena,p17_economia,p18_economia,p19_economia,p20_economia,p21_economia,p22_economia,p23_economia,p24_economia,p25_economia,p26_economia,p27_economia,p28_economia,p29_economia,p29a_economia,p30_economia,p31_economia,p32_economia,p32a_economia,p33_economia,p34_economia,p35_cuarentena,p36_cuarentena,p37_expectativas,p38_expectativas,p39_expectativas,p40_depresion,p41_depresion,p42_depresion,p43_depresion,p44_depresion,p45_depresion,p46_depresion,p47_alimentacion,p48_alimentacion,p49_alimentacion,p50_alimentacion,p51_alimentacion,p52_alimentacion,p53_alimentacion,p54_alimentacion,p55_socio,p56_socio,p57_socio,p58_socio,p60_socio,p60g_socio,p61_socio,p62_socio,p63_socio,p64_socio,p65_socio,p66_socio,p67_socio,p68_socio,nse,gpo_edad3,gpo_edad4,gpo_edad5,factor_i,factor_i_n,factor_h,factor_h_n,factor_i_pop,factor_i_pop_n,factor_h_pop,factor_h_pop_n
385,0,27,25,9,,,,1,3,0,,,,,,,,,,,,,1,,-1,-10,0,0,998,5,0,998,4,1,99998,1,1,9999,1,0,,,,,,,2,2,2,9,3,0,3,0,0,0,1,0,1,1,0,1,0,0,4,1,1,0,5,3,1,3,3,0,0,3,999999,9,4,1,2,2,94032.42825325855,1.1370069,41134.816,1.1012919,94032.42825332429,1.1370069,35996.371,1.101292
386,1,62,25,2,2,2,8,0,2,0,,,,,,,,,,,,,1,,0,0,1,1,999,1,0,998,3,1,99998,0,,,,,6,.a,8,8,,,5,5,5,0,0,0,0,0,2,0,0,0,1,1,1,1,0,0,3,1,0,2,1,,1,2,0,0,1,0,999999,9,1,3,4,5,58726.12662230751,.71009558,25689.949,.68779045,58726.12662234857,.71009558,22480.834,.68779051
387,1,46,25,2,2,1,8,3,3,0,,,,,,,,,,,,,1,,-1,-50,1,2,100,1,1,999,1,0,99999,0,,,,,9,.a,,,,,1,2,2,3,1,3,3,2,3,2,1,0,1,1,0,1,0,1,7,1,0,0,3,6,2,2,1,0,3,3,4000,,4,3,3,4,67274.01305880411,.81345356,29429.252,.78790182,67274.01305885114,.81345356,25753.033,.78790194
74,0,49,11,4,4,1,10,2,2,0,,,,,,,,,,,,,0,22,-1,-20,0,0,998,3,0,998,2,0,99999,1,1,9111,1,0,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,6,1,2,0,1,0,,999999,,2,3,3,4,84250.86171089552,1.0187316,37863.777,1.0137173,84250.86171095441,1.0187316,33133.941,1.0137174
388,1,51,25,2,3,3,2,0,0,1,1,0,,1,,,,,,0,0,,1,,-1,999,0,0,998,5,0,998,5,0,4000,0,,,,,1,8161,1,0,1,9,2,2,5,0,0,0,0,2,0,1,1,1,1,1,1,1,1,0,4,0,0,1,4,1,2,2,0,0,1,1,3200,,2,3,4,4,63010.09055031913,.76189572,27563.984,.7379635,63010.09055036317,.76189572,24120.77,.73796362
389,0,46,25,3,3,2,7,0,0,0,,,,,,,,,,,,,1,,-1,-50,1,1,50,1,1,999,1,1,99998,1,1,4211,1,0,,,,,,,2,2,2,1,0,1,0,3,1,1,1,1,0,1,0,0,0,0,8,2,1,1,4,3,2,4,4,0,3,4,999999,4,5,3,3,4,74897.4921184274,.90563399,32764.17,.87718672,74897.49211847976,.90563399,28671.363,.87718683
75,1,64,11,2,2,1,10,3,3,0,,,,,,,,,,,,,0,10,0,0,0,0,998,3,0,998,3,0,2000,1,1,8161,1,0,,,,,,,2,3,3,1,1,0,0,1,3,1,1,0,0,0,0,1,1,1,2,0,0,0,3,6,1,2,0,0,2,,9600,,2,3,4,5,78063.40604127581,.94391513,35083.031,.93926901,78063.40604133038,.94391513,30700.559,.93926907
390,1,28,25,4,4,1,2,0,0,0,,,,,,,,,,,,,1,,1,998,0,0,998,2,0,998,2,0,3500,1,1,9111,1,0,,,,,,,2,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,2,0,0,4,3,0,1,0,0,2,2,8000,,2,1,2,2,62710.63016483378,.75827479,27432.984,.73445624,62710.63016487761,.75827479,24006.135,.73445636
391,0,73,25,4,4,1,9,0,0,0,,,,,,,,,,,,,0,10,-1,-80,0,0,998,5,0,998,2,0,30000,1,1,8341,1,0,,,,,,,1,1,1,3,2,3,2,0,1,0,0,0,0,0,0,0,0,0,6,0,0,2,5,3,2,2,1,1,2,3,20000,,5,3,4,5,74897.4921184274,.90563399,32764.17,.87718672,74897.49211847976,.90563399,28671.363,.87718683
392,1,24,19,2,1,1,8,1,1,0,,,,,,,,,,,,,1,,0,0,0,0,998,2,0,998,2,1,99998,1,1,9512,0,0,,,,,,,2,2,1,0,0,1,0,1,3,1,1,0,0,0,0,0,0,0,3,0,0,0,6,5,2,2,0,1,3,3,999999,3,6,1,1,1,70914.87412824028,.85747761,29986.344,.80281669,70914.87412828984,.85747761,26240.535,.80281681
393,0,22,25,2,4,1,0,1,1,0,,,,,,,,,,,,,0,11,0,0,0,0,998,5,0,998,4,0,8000,1,1,9111,1,0,,,,,,,2,3,3,0,2,1,1,9,1,1,1,1,1,1,0,1,1,0,2,0,0,0,6,1,0,1,0,0,2,1,800,,2,1,1,1,88072.51938018299,1.0649418,38527.633,1.0314904,88072.51938024456,1.0649418,33714.871,1.0314906
394,0,37,25,1,1,1,8,0,0,0,,,,,,,,,,,,,0,10,0,0,0,0,998,4,1,40,1,1,99998,1,1,3111,1,0,,,,,,,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,7,,1,2,2,1,2,2,45000,,7,2,3,3,60296.98766646844,.72908986,26377.129,.70618808,60296.9876665106,.72908986,23082.172,.7061882
395,0,60,25,1,1,2,8,1,0,0,,,,,,,,,,,,,0,10,-1,-30,0,0,998,2,0,998,2,0,2400,1,1,2992,0,0,,,,,,,1,1,1,0,0,1,0,3,2,1,1,0,0,0,0,0,0,0,3,0,0,0,7,,3,3,1,1,3,2,35000,,7,3,4,5,53574.3618909854,.64780223,23436.293,.62745386,53574.36189102285,.64780223,20508.697,.62745392
396,0,44,16,2,2,2,8,1,1,0,,,,,,,,,,,,,0,10,-1,-80,0,0,998,3,0,998,2,0,20000,1,9,.a,,,,,,,,,1,2,2,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,5,1,1,1,6,5,2,4,2,1,2,2,999999,5,6,2,3,3,80262.51027383649,.97050589,36931.031,.98874503,80262.51027389259,.97050589,32317.713,.98874515
397,0,39,13,2,2,1,9,3,3,0,,,,,,,,,,,,,0,13,-1,-70,0,0,998,3,1,999,1,0,22000,1,1,4111,0,0,,,,,,,1,2,1,1,1,3,2,3,1,0,0,0,1,0,0,0,0,0,4,0,2,0,7,,1,2,2,1,2,2,10000,,7,2,3,3,80967.48527780645,.97903019,37006.797,.9907735,80967.48527786304,.97903019,32384.014,.99077362
398,0,68,13,3,3,1,8,1,3,0,,,,,,,,,,,,,0,10,0,0,0,0,998,3,0,998,2,1,99998,0,,,,,1,9621,1,0,0,13,2,2,3,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,5,1,0,1,3,6,1,2,0,0,2,3,9000,,2,3,4,5,91317.07535901005,1.1041738,41737.156,1.1174182,91317.0753590739,1.1041738,36523.469,1.1174183
399,0,63,12,3,2,3,8,0,0,0,,,,,,,,,,,,,0,30,0,0,0,0,998,3,0,998,3,1,99998,0,,,,,1,4222,0,0,0,10,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,3,1,3,0,1,2,2,3000,,4,3,4,5,92905.48621707746,1.1233803,46659.133,1.2491931,92905.4862171424,1.1233803,40830.609,1.2491932
400,1,48,13,2,2,2,10,3,2,0,,,,,,,,,,,,,0,11,0,0,0,0,998,4,1,999,1,0,99999,1,1,5116,0,0,,,,,,,2,2,2,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,0,4,3,0,2,0,0,2,2,5600,,2,3,3,4,84610.67088801423,1.0230823,38671.941,1.035354,84610.67088807338,1.0230823,33841.152,1.0353541
401,1,25,26,3,3,1,8,0,0,0,,,,,,,,,,,,,1,,-1,-40,0,0,998,2,0,998,2,0,99999,0,,,,,1,9221,0,0,0,10,2,3,2,1,1,1,1,3,1,1,1,0,0,0,0,1,0,0,4,1,1,0,4,3,1,1,0,0,1,1,999999,1,2,1,2,2,88905.90766843359,1.0750188,37842.906,1.0131584,88905.90766849574,1.0750188,33115.68,1.0131586
76,1,51,11,3,2,1,7,0,1,0,,,,,,,,,,,,,1,,-1,-40,0,0,998,3,9,,2,9,,0,,,,,1,9999,0,0,1,9,2,2,2,2,2,1,1,1,2,0,1,0,1,1,0,1,0,0,2,0,0,1,3,1,1,1,0,0,0,,999999,9,2,3,4,4,78063.40604127581,.94391513,35083.031,.93926901,78063.40604133038,.94391513,30700.559,.93926907
403,0,29,26,2,2,1,0,0,0,0,,,,,,,,,,,,,1,,-1,-60,1,0,100,1,0,998,2,1,99998,1,1,1133,1,0,,,,,,,2,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,1,2,0,8,,2,2,1,1,0,1,999999,3,7,1,2,2,98367.11251484047,1.1894203,41870.078,1.1209769,98367.11251490923,1.1894203,36639.789,1.120977
404,0,24,16,1,1,2,7,1,1,0,,,,,,,,,,,,,1,,0,0,0,0,998,4,0,998,2,0,5000,0,,,,,1,9111,0,0,1,9,2,2,2,1,2,3,2,1,2,0,0,0,0,0,0,0,0,0,6,1,0,2,3,6,3,7,1,1,4,6,20000,,6,1,1,1,92358.65301469014,1.1167681,42496.805,1.1377561,92358.6530147547,1.1167681,37188.227,1.1377562
405,0,63,26,9,,,,0,1,0,,,,,,,,,,,,,0,11,0,0,0,0,998,5,0,998,5,0,99999,1,6,.a,8,8,,,,,,,5,2,2,0,0,0,0,3,3,0,1,1,1,1,0,0,0,0,1,0,0,0,4,6,0,1,0,0,0,1,999999,2,1,3,4,5,89856.12119601572,1.0865084,38247.367,1.0239869,89856.12119607854,1.0865084,33469.613,1.0239871
406,0,40,26,3,3,3,1,0,0,0,,,,,,,,,,,,,0,11,0,0,1,1,100,1,1,80,1,0,99999,1,1,4999,1,0,,,,,,,5,5,5,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,7,1,0,0,3,4,1,2,0,0,2,2,999999,1,2,2,3,3,108508.8156261601,1.3120502,46186.906,1.2365502,108508.8156262359,1.3120502,40417.371,1.2365503
77,0,37,11,2,3,3,3,0,0,0,,,,,,,,,,,,,0,22,-1,-70,1,1,100,1,0,998,5,0,4000,0,,,,,1,7135,0,0,0,10,4,1,2,3,1,3,1,1,0,1,0,0,0,0,0,0,0,0,3,0,1,0,3,6,1,2,0,0,1,,10000,,2,2,3,3,94822.84044387279,1.1465642,42615.008,1.1409206,94822.84044393907,1.1465642,37291.66,1.1409208
407,0,68,26,3,3,2,0,0,0,0,,,,,,,,,,,,,1,,1,200,0,0,998,5,0,998,5,1,99998,1,6,.a,8,8,,,,,,,2,2,1,0,0,0,3,0,1,0,1,1,1,1,1,1,0,0,2,0,0,1,3,6,0,1,0,0,0,0,1275,,1,3,4,5,89856.12119601572,1.0865084,38247.367,1.0239869,89856.12119607854,1.0865084,33469.613,1.0239871
78,1,43,11,4,4,3,3,0,0,0,,,,,,,,,,,,,1,,0,0,0,0,998,5,0,998,5,1,99998,0,,,,,1,9999,1,1,1,9,5,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,6,4,1,3,1,1,5,,999999,9,7,2,3,3,56143.81169030834,.6788711,25231.99,.6755296,56143.81169034759,.6788711,22080.082,.67552966
79,1,65,11,2,2,1,8,0,1,0,,,,,,,,,,,,,1,,0,0,0,0,998,4,1,50,1,1,99998,0,,,,,1,2143,0,0,0,10,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,,2,2,1,1,1,,15000,,7,3,4,5,61498.92785106273,.74362332,27638.67,.73996305,61498.92785110573,.74362332,24186.127,.73996311
408,0,41,13,2,2,1,8,1,1,0,,,,,,,,,,,,,1,,-1,-50,1,4,999,1,0,998,2,0,7000,1,2,4111,1,0,,,,,,,3,2,1,3,3,3,3,3,2,3,1,0,0,1,0,0,0,0,5,2,0,0,4,3,1,4,1,0,4,4,20000,,4,2,3,3,109730.6203127791,1.3268238,50153.203,1.3427389,109730.6203128558,1.3268238,43888.207,1.342739
409,0,46,26,1,3,2,9,0,0,0,,,,,,,,,,,,,1,,-1,-100,1,1,100,1,0,998,5,0,4000,1,1,5116,0,0,,,,,,,1,5,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,1,2,0,4,3,0,1,0,0,1,0,4000,,1,3,3,4,89856.12119601572,1.0865084,38247.367,1.0239869,89856.12119607854,1.0865084,33469.613,1.0239871
410,0,33,13,3,3,2,8,2,2,0,,,,,,,,,,,,,1,,-1,-40,0,0,998,3,1,100,1,0,6000,1,1,9512,0,0,,,,,,,2,2,2,0,0,0,1,1,0,2,1,1,1,0,1,0,1,1,6,2,1,2,3,3,0,3,0,0,0,2,150,,1,2,2,2,95788.16559077389,1.1582366,43780.699,1.1721295,95788.16559084086,1.1582366,38311.738,1.1721296
411,1,25,26,4,4,1,10,1,0,0,,,,,,,,,,,,,1,,0,0,0,0,998,5,0,998,5,9,,0,,,,,6,.a,8,8,,,3,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,2,3,3,1,3,0,0,3,4,5000,,3,1,2,2,80021.92190402807,.96759677,34061.426,.91191787,80021.92190408401,.96759677,29806.57,.91191798
80,1,41,11,2,2,1,10,3,3,0,,,,,,,,,,,,,1,,-1,-40,0,0,998,3,0,998,2,1,99998,0,,,,,1,1411,1,0,0,13,2,1,1,0,2,3,3,2,1,2,0,0,0,0,0,0,0,0,4,0,0,0,6,5,3,4,2,1,2,,999999,9,6,2,3,3,58764.88886225556,.71056426,26409.947,.70706671,58764.88886229664,.71056426,23110.891,.70706683
81,1,18,11,2,4,1,10,0,0,0,,,,,,,,,,,,,1,,0,0,0,0,998,2,0,998,3,1,99998,1,1,9111,1,0,,,,,,,2,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,3,6,2,3,1,0,1,,6800,,3,1,1,1,69928.93516467758,.84555596,31427.26,.84139395,69928.93516472646,.84555596,27501.455,.84139407
412,0,32,26,1,1,9,9,0,2,0,,,,,,,,,,,,,0,11,-1,-35,1,1,60,1,0,998,2,0,4000,1,1,2640,0,1,,,,,,,2,2,2,0,1,0,3,0,0,0,1,1,1,1,1,1,0,0,4,0,2,0,5,1,2,2,0,0,1,1,1300,,3,2,2,2,97665.99540626617,1.1809427,41571.648,1.112987,97665.99540633443,1.1809427,36378.637,1.1129872
413,0,27,26,4,4,2,0,0,0,0,,,,,,,,,,,,,0,21,-1,-10,0,0,998,3,0,998,3,0,4000,1,1,9111,0,0,,,,,,,1,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,0,4,3,1,2,1,0,2,2,6000,,3,1,2,2,112384.9696488006,1.3589193,47836.797,1.2807223,112384.9696488791,1.3589193,41861.16,1.2807225
414,0,43,26,3,2,1,6,0,0,0,,,,,,,,,,,,,1,,-1,-15,0,0,998,3,0,998,3,0,8000,1,1,9221,1,0,,,,,,,2,2,2,1,2,1,2,0,0,1,1,1,1,0,0,1,0,0,5,0,0,0,5,3,1,2,1,0,1,1,999999,2,3,2,3,3,97665.99540626617,1.1809427,41571.648,1.112987,97665.99540633443,1.1809427,36378.637,1.1129872
82,1,51,11,2,2,1,10,1,1,0,,,,,,,,,,,,,1,,0,0,0,0,998,3,1,30,1,1,99998,0,,,,,1,5313,1,0,9,9,2,2,1,3,3,3,0,2,0,3,1,0,0,0,0,0,0,0,8,0,1,0,5,3,1,4,0,0,4,,999999,3,3,3,4,4,70262.86492787645,.8495937,31577.334,.84541184,70262.86492792556,.8495937,27632.783,.84541196
415,0,39,26,3,3,2,0,0,0,0,,,,,,,,,,,,,0,10,0,0,0,0,998,5,0,998,5,1,99998,1,1,2643,1,0,,,,,,,5,5,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,7,,1,3,1,1,2,2,999999,5,7,2,3,3,85484.04639004686,1.0336429,36386.387,.97416341,85484.04639010663,1.0336429,31841.104,.97416353
416,1,32,26,3,3,1,9,3,3,0,,,,,,,,,,,,,1,,0,0,0,0,998,3,0,998,3,0,4000,0,,,,,1,8341,1,0,0,10,2,2,1,1,2,3,1,0,1,3,1,0,0,0,0,0,0,0,4,0,1,0,2,,0,1,0,0,1,0,4500,,1,2,2,2,76007.2749259165,.91905308,32352.588,.86616755,76007.27492596963,.91905308,28311.193,.86616766
417,0,33,16,4,4,2,0,0,0,0,,,,,,,,,,,,,0,10,0,0,0,0,998,5,0,998,5,9,,1,1,9221,0,0,,,,,,,3,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,5,3,0,3,0,0,1,1,999999,9,2,2,2,2,97336.71057026846,1.1769611,44787.352,1.1990802,97336.71057033651,1.1769611,39192.641,1.1990803
418,1,45,26,3,2,2,8,0,0,1,1,0,,1,,,,,,0,0,,1,,-1,999,1,1,30,1,1,50,1,0,1500,1,1,9999,1,0,,,,,,,2,2,2,1,1,1,3,1,3,2,1,1,1,1,0,1,1,1,5,1,0,1,4,3,1,2,0,0,1,2,4000,,2,3,3,4,89330.45765800211,1.0801523,38023.617,1.0179965,89330.45765806454,1.0801523,33273.813,1.0179967
419,0,32,16,4,4,3,0,1,1,0,,,,,,,,,,,,,1,,-1,-60,1,2,40,1,1,50,1,0,7000,1,1,7121,0,0,,,,,,,1,1,1,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,4,1,1,0,3,6,0,2,0,0,2,1,3500,,2,2,2,2,97336.71057026846,1.1769611,44787.352,1.1990802,97336.71057033651,1.1769611,39192.641,1.1990803
83,0,66,11,4,4,9,0,0,3,0,,,,,,,,,,,,,9,,-1,999,0,0,998,5,0,998,2,0,99999,1,1,7121,0,0,,,,,,,1,1,2,0,3,1,2,2,0,2,1,0,1,1,0,1,0,0,4,0,0,0,1,,1,4,0,0,2,,999999,1,1,3,4,5,78522.76880829703,.94946957,35289.477,.94479609,78522.76880835192,.94946957,30881.215,.9447962
420,1,31,26,2,4,1,10,3,3,0,,,,,,,,,,,,,0,10,1,80,1,1,60,1,0,998,5,0,4000,1,1,9331,1,0,,,,,,,3,3,3,3,3,3,3,1,3,3,1,0,0,1,0,0,1,0,4,0,1,0,4,3,1,3,0,0,1,3,1800,,2,2,2,2,81551.86713345708,.98609632,34712.648,.92935288,81551.86713351408,.98609632,30376.443,.929353
421,1,47,16,4,3,3,4,0,0,0,,,,,,,,,,,,,1,,-1,-20,0,0,998,5,0,998,5,1,99998,0,,,,,1,4999,0,0,0,30,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,1,2,1,1,2,4,999999,9,4,3,3,4,85555.59829800737,1.034508,39366.531,1.0539501,85555.59829806718,1.034508,34448.977,1.0539502
84,1,30,11,3,3,2,7,3,2,1,1,0,,1,,,,,,0,0,,0,12,-1,-50,1,1,33,1,0,998,4,1,99998,0,,,,,1,9511,1,1,1,9,2,1,3,0,1,1,1,1,2,1,0,0,0,1,0,0,0,0,6,0,1,1,1,,1,3,1,0,3,,999999,3,3,2,2,2,64144.61512053981,.77561402,28827.688,.77179629,64144.61512058465,.77561402,25226.615,.77179641
85,0,30,11,1,1,1,8,1,0,0,,,,,,,,,,,,,0,10,0,0,1,0,999,1,0,998,3,1,99998,1,99,.a,,,,,,,,,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,7,,3,3,0,0,0,,999999,9,5,2,2,2,104434.3282743319,1.2627829,46934.574,1.2565674,104434.3282744049,1.2627829,41071.641,1.2565675
422,1,68,26,2,1,1,8,0,0,0,,,,,,,,,,,,,1,,-1,-50,1,1,50,1,9,,2,0,15000,1,1,4111,1,0,,,,,,,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,6,1,2,3,2,1,2,4,999999,4,7,3,4,5,70375.19433250318,.85095197,29955.285,.8019852,70375.19433255236,.85095197,26213.357,.80198526
423,1,45,26,3,3,1,10,1,1,0,,,,,,,,,,,,,0,10,-1,-50,0,0,998,4,0,998,2,0,60000,1,2,9899,0,1,,,,,,,1,1,1,3,0,0,3,3,1,2,1,0,1,0,0,0,0,0,2,0,0,0,4,3,1,2,1,0,2,1,15000,,3,3,3,4,80404.04843533017,.97221732,34224.078,.91627252,80404.0484353864,.97221732,29948.904,.91627264
424,1,55,16,3,3,1,10,3,3,0,,,,,,,,,,,,,0,13,0,0,1,1,100,1,0,998,3,0,99999,1,1,9611,0,0,,,,,,,2,2,2,1,2,2,2,3,0,3,1,1,1,1,1,1,0,1,5,1,2,0,4,3,1,2,0,0,2,2,2200,,2,3,4,4,80132.96294859095,.96893942,36871.422,.98714918,80132.96294864696,.96893942,32265.551,.9871493
425,1,57,26,1,2,2,8,2,3,0,,,,,,,,,,,,,1,,-1,-50,1,1,25,1,0,998,3,0,99999,0,,,,,1,8999,1,0,0,10,2,1,1,1,1,1,2,1,3,1,1,0,1,1,0,0,0,0,5,1,1,0,4,3,1,2,0,0,1,1,999999,2,2,3,4,4,89330.45765800211,1.0801523,38023.617,1.0179965,89330.45765806454,1.0801523,33273.813,1.0179967
426,1,24,26,3,1,2,10,1,1,0,,,,,,,,,,,,,1,,-1,-25,0,0,998,5,0,998,3,1,99998,0,,,,,1,8331,1,0,0,10,2,2,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,3,1,0,0,4,3,1,2,1,1,2,2,4000,,4,1,1,1,94922.21231954321,1.1477659,40403.754,1.0817193,94922.21231960956,1.1477659,35356.633,1.0817195
86,0,52,11,2,2,2,99,0,0,0,,,,,,,,,,,,,1,,0,0,0,0,998,5,0,998,4,1,99998,1,1,5313,1,0,,,,,,,5,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,2,0,4,3,2,3,1,0,1,,7000,,3,3,4,4,75832.03470932103,.91693413,34080.215,.91242081,75832.03470937403,.91693413,29823.01,.91242093
427,1,38,16,4,4,3,6,2,2,0,,,,,,,,,,,,,0,10,-1,-50,0,0,998,4,1,50,1,9,,0,,,,,1,9111,0,0,1,9,2,2,4,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,7,0,1,0,3,6,0,2,1,0,2,2,7000,,2,2,3,3,73155.25878544891,.8845675,33660.785,.90119159,73155.25878550005,.8845675,29455.977,.90119171
429,0,33,16,4,4,3,0,0,0,0,,,,,,,,,,,,,1,,0,0,0,0,998,2,0,998,5,0,2000,1,1,4231,1,0,,,,,,,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,,1,2,0,0,1,0,999999,9,1,2,2,2,90718.92993684224,1.0969412,41742.324,1.1175566,90718.92993690565,1.0969412,36527.992,1.1175567
87,1,56,11,9,,,,0,0,0,,,,,,,,,,,,,1,,-1,999,0,0,998,3,9,,3,9,,0,,,,,10,.a,,,,,2,1,5,0,0,0,0,0,3,0,1,0,1,1,0,1,1,0,1,0,0,0,1,,1,2,0,0,0,,999999,9,1,3,4,4,72755.98920283333,.8797397,32697.785,.87540942,72755.9892028842,.8797397,28613.271,.87540954
430,0,22,26,3,3,2,8,1,0,0,,,,,,,,,,,,,0,10,-1,-20,0,0,998,2,0,998,4,0,4000,0,,,,,1,2391,1,0,1,9,1,2,1,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,6,5,2,4,1,1,4,4,999999,3,7,1,1,1,98367.11251484047,1.1894203,41870.078,1.1209769,98367.11251490923,1.1894203,36639.789,1.120977
431,1,40,26,2,2,2,7,1,1,0,,,,,,,,,,,,,1,,-1,-50,0,0,998,4,0,998,3,0,5000,0,,,,,10,.a,,,,,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,2,3,1,1,2,4,999999,2,5,2,3,3,89818.17485884533,1.0860496,38231.215,1.0235544,89818.17485890813,1.0860496,33455.48,1.0235546
432,1,19,16,3,3,1,9,0,0,0,,,,,,,,,,,,,1,,-1,999,0,0,998,5,0,998,3,1,99998,0,,,,,1,2413,1,1,1,9,2,2,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,4,1,0,0,7,,5,4,5,1,3,3,60000,,7,1,1,1,62829.3129401218,.75970984,28909.529,.77398741,62829.31294016571,.75970984,25298.232,.77398747
433,1,60,28,2,1,1,3,3,1,0,,,,,,,,,,,,,1,,-1,999,1,0,100,1,0,998,3,1,99998,0,,,,,5,.a,8,8,,,1,4,4,3,2,3,2,2,3,3,1,0,0,0,0,0,0,0,7,2,1,0,3,6,1,2,0,0,0,3,2500,,2,3,4,5,85964.29902237962,1.0394499,39641.984,1.0613247,85964.29902243971,1.0394499,34690.02,1.0613248
434,1,65,28,1,2,1,10,3,3,0,,,,,,,,,,,,,1,,-1,-100,1,1,100,1,0,998,4,1,99998,1,1,9712,0,0,,,,,,,5,2,5,3,3,3,3,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,3,6,2,2,1,0,2,1,2400,,4,3,4,5,91781.54363076408,1.10979,42324.574,1.133145,91781.54363082824,1.10979,37037.512,1.1331452
88,0,43,11,3,3,1,3,0,0,0,,,,,,,,,,,,,1,,-1,-40,0,0,998,4,1,999,1,1,99998,0,,,,,8,.a,8,8,,,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,4,3,2,3,0,1,2,3,5500,,5,2,3,3,104434.3282743319,1.2627829,46934.574,1.2565674,104434.3282744049,1.2627829,41071.641,1.2565675
89,1,23,11,1,1,1,8,3,3,0,,,,,,,,,,,,,0,10,-1,999,0,0,998,2,1,50,1,0,3000,0,,,,,1,8152,1,0,0,10,1,1,1,1,3,1,3,1,2,1,1,0,1,1,0,1,1,0,3,1,0,2,3,6,0,1,0,0,0,,999999,1,1,1,1,1,72410.21067144639,.87555867,32542.387,.87124902,72410.21067149701,.87555867,28477.285,.87124908
435,1,60,28,9,,,,3,3,0,,,,,,,,,,,,,1,,0,0,1,1,50,1,0,998,4,1,99998,0,,,,,1,,9,9,,9,2,2,2,3,3,1,2,3,2,1,1,0,0,0,0,1,0,0,8,1,1,1,1,,2,4,1,0,1,3,999999,2,2,3,4,5,85964.29902237962,1.0394499,39641.984,1.0613247,85964.29902243971,1.0394499,34690.02,1.0613248
90,0,37,24,1,1,2,8,1,1,0,,,,,,,,,,,,,0,10,0,0,0,0,998,5,0,998,4,1,99998,0,,,,,1,1521,1,0,0,10,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,6,2,3,3,2,1,2,,15000,,7,2,3,3,73969.86418571735,.89441746,34733.789,.92991883,73969.86418576904,.89441746,30394.943,.92991894
436,0,28,2,2,2,1,7,1,1,0,,,,,,,,,,,,,1,,-1,-40,0,0,998,3,0,998,3,1,99998,1,10,.a,,,,,,,,,2,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,1,1,0,6,8,2,3,4,1,2,4,999999,9,7,1,2,2,97151.65972100393,1.1747235,44368.051,1.1878544,97151.65972107185,1.1747235,38825.719,1.1878545
